Tax Roll,Property Address,Sale Price,"Time-
adjusted Sale Price",Title Transfer Date,Community,Property,Structure,Total Floor Area (sq.ft),Year Built
810000,26 SPRINGS CR SE,"$354,000","$339,900",09/13/2018,Big Springs,Single Family,2 Storey,1287,1998
841323,1405 800 YANKEE VALLEY BV SE,"$257,000","$249,800",09/13/2018,Big Springs,Condo,2 Storey,1295,2005
139100,8 BIG SPRINGS CR SE,"$320,000","$307,300",09/14/2018,Big Springs,Single Family,Bilevel,1061,1979
1900,36 SPRING HAVEN CR SE,"$175,000","$168,100",09/14/2018,Big Springs,Manufactured Home,Single Wide Mobile,986,1981
313400,61 BIG HILL CI SE,"$164,500","$158,000",09/14/2018,Big Springs,Manufactured Home,Single Wide Mobile,930,1978
270500,89 SPRING HAVEN CL SE,"$287,500","$276,100",09/28/2018,Big Springs,Manufactured Home,Modular Bungalow,1038,1978
203800,28 SPRING HAVEN CR SE,"$189,000","$186,900",10/09/2018,Big Springs,Manufactured Home,Double Wide Mobile,1548,1980
178500,493 BIG SPRINGS DR SE,"$297,500","$294,200",10/11/2018,Big Springs,Single Family,Bungalow,1190,1979
206700,277 BIG SPRINGS DR SE,"$175,000","$173,100",10/05/2018,Big Springs,Manufactured Home,Single Wide Mobile,1103,1978
389200,832 SPRING HAVEN CO SE,"$161,000","$156,700",11/02/2018,Big Springs,Manufactured Home,Single Wide Mobile,930,1981
440800,96 SPRING HAVEN CL SE,"$180,000","$175,200",11/21/2018,Big Springs,Manufactured Home,Single Wide Mobile,1344,1978
801003,87 SPRINGS CR SE,"$337,500","$328,500",11/14/2018,Big Springs,Single Family,2 Storey,1449,2001
11000,197 SPRING DALE CI SE,"$99,000","$96,400",11/22/2018,Big Springs,Manufactured Home,Single Wide Mobile,958,1980
841306,706 800 YANKEE VALLEY BV SE,"$252,500","$246,800",11/05/2018,Big Springs,Condo,2 Storey,1295,2006
343500,117 SPRING HAVEN ME SE,"$167,000","$162,600",11/06/2018,Big Springs,Manufactured Home,Single Wide Mobile,981,1980
54300,525 SPRING HAVEN CO SE,"$218,000","$212,200",11/07/2018,Big Springs,Manufactured Home,Double Wide Mobile,1223,1980
368100,424 SPRING HAVEN CO SE,"$205,000","$199,500",11/09/2018,Big Springs,Manufactured Home,Modular Bilevel,943,1978
194100,144 BIG SPRINGS DR SE,"$231,900","$225,700",11/08/2018,Big Springs,Manufactured Home,Single Wide Mobile,1061,1978
364400,61 SPRING HAVEN RD SE,"$252,500","$249,700",12/12/2018,Big Springs,Manufactured Home,Modular Bilevel,953,1978
801005,95 SPRINGS CR SE,"$345,000","$341,200",12/20/2018,Big Springs,Single Family,2 Storey,1459,2001
160300,49 BIG HILL CI SE,"$187,500","$185,400",12/20/2018,Big Springs,Manufactured Home,Double Wide Mobile,1288,1978
15000,120 SPRING HAVEN CL SE,"$170,000","$168,100",12/05/2018,Big Springs,Manufactured Home,Double Wide Mobile,1216,1980
249800,401 BIG SPRINGS DR SE,"$300,000","$296,700",12/06/2018,Big Springs,Single Family,Bilevel,1116,1980
16200,456 BIG SPRINGS DR SE,"$328,000","$324,400",12/06/2018,Big Springs,Single Family,Bungalow,1163,1980
351400,37 SPRING HAVEN CL SE,"$130,000","$129,100",01/07/2019,Big Springs,Manufactured Home,Single Wide Mobile,1176,1978
170800,9 SPRING DALE CI SE,"$158,000","$156,900",01/08/2019,Big Springs,Manufactured Home,Single Wide Mobile,930,1979
379700,468 BIG SPRINGS DR SE,"$310,000","$307,900",01/10/2019,Big Springs,Single Family,Split Level,1086,1980
183300,129 BIG HILL PL SE,"$210,000","$208,600",01/16/2019,Big Springs,Manufactured Home,Single Wide Mobile,1249,1978
236400,409 BIG SPRINGS DR SE,"$302,000","$299,900",01/23/2019,Big Springs,Single Family,Bilevel,1211,1980
733200,12 BIG SPRINGS ME SE,"$329,000","$326,700",01/28/2019,Big Springs,Single Family,Bilevel,988,1999
241200,220 SPRING DALE CI SE,"$177,500","$175,900",02/25/2019,Big Springs,Manufactured Home,Single Wide Mobile,930,1980
841293,402 800 YANKEE VALLEY BV SE,"$270,000","$266,200",02/26/2019,Big Springs,Condo,2 Storey,1403,2005
76100,517 SPRING HAVEN CO SE,"$180,000","$180,800",03/05/2019,Big Springs,Manufactured Home,Double Wide Mobile,1051,1980
59100,12 SPRING HAVEN RD SE,"$195,000","$195,900",03/06/2019,Big Springs,Manufactured Home,Single Wide Mobile,1170,1978
580600,211 101 BIG HILL WY SE,"$118,000","$115,500",03/18/2019,Big Springs,Apartment,Apartment,753,1978
89800,341 BIG SPRINGS DR SE,"$216,000","$217,000",03/25/2019,Big Springs,Manufactured Home,Single Wide Mobile,1014,1980
841280,105 800 YANKEE VALLEY BV SE,"$222,000","$220,100",04/01/2019,Big Springs,Condo,2 Storey,1295,2006
811300,35 SPRINGS CR SE,"$317,500","$318,300",04/02/2019,Big Springs,Single Family,Bilevel,1054,1998
344700,157 SPRING HAVEN ME SE,"$212,500","$213,000",04/08/2019,Big Springs,Manufactured Home,Double Wide Mobile,1147,1981
801025,162 SPRINGS CR SE,"$390,000","$390,900",04/18/2019,Big Springs,Single Family,2 Storey,1722,2012
378700,4 51 BIG HILL WY SE,"$182,000","$180,400",04/25/2019,Big Springs,Condo,2 Storey,1012,1980
732800,4 BIG SPRINGS ME SE,"$335,000","$335,800",04/29/2019,Big Springs,Single Family,2 Storey,1263,1999
169200,48 SPRING DALE CI SE,"$169,800","$166,400",05/14/2019,Big Springs,Manufactured Home,Single Wide Mobile,930,1979
603500,1708 BIG SPRINGS WY SE,"$360,000","$352,800",05/17/2019,Big Springs,Single Family,Split Level,1224,1998
841267,1102 800 YANKEE VALLEY BV SE,"$228,000","$226,700",05/30/2019,Big Springs,Condo,2 Storey,1295,2006
47200,109 BIG HILL CI SE,"$285,000","$286,000",06/14/2019,Big Springs,Manufactured Home,Single Wide Mobile,1520,2019
24300,844 SPRING HAVEN CO SE,"$184,500","$185,100",06/26/2019,Big Springs,Manufactured Home,Double Wide Mobile,1147,1981
841463,1054 CHANNELSIDE WY SW,"$391,000","$373,600",07/04/2016,Canals,Single Family,2 Storey,1492,2006
852018,47 CANALS CL SW,"$498,457","$476,300",07/04/2016,Canals,Single Family,2 Storey,2340,2015
852083,243 CANALS CL SW,"$628,630","$600,700",07/06/2016,Canals,Single Family,2 Storey,2405,2015
815500,74 CANOE CI SW,"$407,500","$389,400",07/07/2016,Canals,Single Family,Split Level,1388,1998
811800,223 CANALS BV SW,"$385,000","$367,900",07/07/2016,Canals,Single Family,Bilevel,1350,1998
841477,109 CHANNELSIDE CM SW,"$515,000","$492,100",07/21/2016,Canals,Single Family,2 Storey,1880,2007
852107,452 CANALS BV SW,"$933,650","$936,700",07/20/2016,Canals,Single Family,2 Storey,3168,2015
852112,150 CANOE CR SW,"$670,500","$640,700",07/20/2016,Canals,Single Family,2 Storey,2454,2015
799551,242 CANALS CI SW,"$436,000","$416,600",07/29/2016,Canals,Single Family,2 Storey,2144,2005
800954,89 CANOE SQ SW,"$358,000","$342,100",07/27/2016,Canals,Duplex,Bungalow,1252,2002
845632,874 CANOE GR SW,"$406,500","$388,400",07/15/2016,Canals,Single Family,2 Storey,1647,2010
800767,40 CANOE RD SW,"$413,500","$395,100",07/15/2016,Canals,Single Family,2 Storey,2115,2000
841540,133 CHANNELSIDE CV SW,"$505,000","$482,500",07/19/2016,Canals,Single Family,2 Storey,2108,2006
800947,38 CANOE SQ SW,"$315,000","$301,000",07/19/2016,Canals,Duplex,Bungalow,1224,2003
852011,22 CANALS CL SW,"$500,000","$477,800",07/19/2016,Canals,Single Family,2 Storey,2255,2015
800984,45 CANOE CL SW,"$315,000","$300,400",08/18/2016,Canals,Duplex,2 Storey,1286,2000
841557,925 CHANNELSIDE RD SW,"$550,000","$524,500",08/17/2016,Canals,Single Family,2 Storey,1814,2006
844737,113 CANALS CI SW,"$364,900","$348,000",08/16/2016,Canals,Duplex,2 Storey,1658,2007
808015,15 102 CANOE SQ SW,"$240,000","$217,800",08/13/2016,Canals,Condo,2 Storey,1333,2002
813300,28 CANOE CI SW,"$415,000","$395,700",08/10/2016,Canals,Single Family,2 Storey,2076,1998
808032,32 102 CANOE SQ SW,"$256,000","$232,300",08/12/2016,Canals,Condo,2 Storey,1218,2002
799592,52 CANOE CV SW,"$428,000","$408,100",09/15/2016,Canals,Single Family,2 Storey,2201,2005
799554,254 CANALS CI SW,"$405,000","$386,200",09/13/2016,Canals,Single Family,2 Storey,1900,2004
800937,70 CANOE SQ SW,"$350,000","$333,800",09/29/2016,Canals,Duplex,2 Storey,1329,2003
800862,234 CANOE SQ SW,"$605,000","$576,900",09/30/2016,Canals,Single Family,2 Storey,2692,2003
851991,434 CANALS BV SW,"$896,589","$897,700",09/12/2016,Canals,Single Family,Bungalow,1698,2016
808031,31 102 CANOE SQ SW,"$276,000","$251,200",09/13/2016,Canals,Condo,2 Storey,1330,2002
852008,10 CANALS CL SW,"$611,428","$612,200",09/08/2016,Canals,Single Family,2 Storey,2482,2013
800925,98 CANOE SQ SW,"$364,500","$351,300",10/31/2016,Canals,Duplex,2 Storey,1412,2002
844759,144 CANALS CI SW,"$335,000","$322,800",10/04/2016,Canals,Duplex,2 Storey,1510,2007
818017,123 CANOE SQ SW,"$342,500","$330,100",10/06/2016,Canals,Duplex,2 Storey,1363,2001
852088,254 CANALS CL SW,"$363,000","$345,500",11/03/2016,Canals,Duplex,2 Storey,1314,2013
851990,431 CANALS BV SW,"$700,000","$666,200",11/02/2016,Canals,Single Family,2 Storey,2735,2015
844752,132 CANALS CI SW,"$330,000","$314,100",11/15/2016,Canals,Duplex,2 Storey,1541,2007
852065,190 CANALS CL SW,"$444,900","$423,400",11/14/2016,Canals,Duplex,2 Storey,1695,2013
842494,1097 CHANNELSIDE DR SW,"$495,000","$471,100",11/22/2016,Canals,Single Family,2 Storey,2219,2006
841446,1013 CHANNELSIDE WY SW,"$434,000","$415,500",12/21/2016,Canals,Single Family,2 Storey,1805,2005
842499,1077 CHANNELSIDE DR SW,"$569,000","$544,800",12/21/2016,Canals,Single Family,2 Storey,2365,2007
799559,270 CANALS CI SW,"$385,000","$368,600",12/07/2016,Canals,Single Family,2 Storey,2007,2004
841481,110 CHANNELSIDE CM SW,"$618,000","$591,700",12/15/2016,Canals,Single Family,2 Storey,2303,2013
841527,1192 CHANNELSIDE DR SW,"$405,000","$391,500",01/18/2017,Canals,Single Family,2 Storey,1794,2006
812400,10 CANOE CI SW,"$437,500","$422,900",01/25/2017,Canals,Single Family,2 Storey,2043,1998
841521,1176 CHANNELSIDE DR SW,"$403,500","$390,000",01/19/2017,Canals,Single Family,2 Storey,1681,2005
852084,246 CANALS CL SW,"$363,000","$350,900",01/10/2017,Canals,Duplex,2 Storey,1314,2013
812500,12 CANOE CI SW,"$395,000","$377,400",02/03/2017,Canals,Single Family,2 Storey,1612,1998
841444,101 CHANNELSIDE CM SW,"$607,000","$580,000",02/08/2017,Canals,Single Family,2 Storey,2263,2010
818200,202 CANALS BV SW,"$310,635","$296,800",02/28/2017,Canals,Single Family,2 Storey,1418,1998
852038,99 CANALS CL SW,"$498,998","$476,800",02/02/2017,Canals,Single Family,2 Storey,2255,2016
842495,1093 CHANNELSIDE DR SW,"$640,000","$611,500",03/31/2017,Canals,Single Family,2 Storey,2439,2006
852009,14 CANALS CL SW,"$583,000","$557,100",03/23/2017,Canals,Single Family,2 Storey,2556,2013
852017,46 CANALS CL SW,"$500,100","$477,800",03/06/2017,Canals,Single Family,2 Storey,2196,2016
852013,30 CANALS CL SW,"$484,000","$463,200",04/04/2017,Canals,Single Family,2 Storey,2196,2016
800898,215 CANOE DR SW,"$470,000","$449,800",04/06/2017,Canals,Single Family,2 Storey,1802,2001
800919,103 CANOE SQ SW,"$346,500","$331,600",04/13/2017,Canals,Duplex,Bungalow,942,2002
818016,121 CANOE SQ SW,"$335,000","$320,600",05/19/2017,Canals,Duplex,2 Storey,1381,2002
844769,154 CANALS CI SW,"$330,000","$315,800",05/23/2017,Canals,Duplex,2 Storey,1498,2007
799531,98 CANALS CI SW,"$505,000","$483,300",05/31/2017,Canals,Single Family,2 Storey,2543,2008
799519,50 CANALS CI SW,"$433,000","$414,400",05/31/2017,Canals,Single Family,2 Storey,2321,2005
852037,98 CANALS CL SW,"$738,299","$706,600",05/09/2017,Canals,Single Family,Bungalow,1675,2016
852016,42 CANALS CL SW,"$481,100","$460,400",05/12/2017,Canals,Single Family,2 Storey,2088,2016
819100,310 CANALS BV SW,"$374,700","$358,600",05/02/2017,Canals,Single Family,2 Storey,1594,1998
799614,181 CANALS CI SW,"$400,000","$382,800",05/05/2017,Canals,Single Family,2 Storey,1934,2004
845621,849 CANOE GR SW,"$587,000","$561,200",06/22/2017,Canals,Single Family,2 Storey,2772,2007
799550,238 CANALS CI SW,"$460,000","$439,800",06/07/2017,Canals,Single Family,2 Storey,2135,2005
800783,106 CANOE CR SW,"$592,000","$566,000",06/02/2017,Canals,Single Family,2 Storey,2218,2001
852048,126 CANALS CL SW,"$562,071","$537,300",06/12/2017,Canals,Single Family,2 Storey,2288,2016
800935,74 CANOE SQ SW,"$355,000","$339,400",06/13/2017,Canals,Duplex,Bilevel,1114,2001
808050,1 156 CANOE DR SW,"$217,000","$202,300",06/08/2017,Canals,Condo,2 Storey,1310,2002
841549,909 CHANNELSIDE RD SW,"$662,000","$629,400",07/31/2017,Canals,Single Family,2 Storey,2263,2011
800896,207 CANOE DR SW,"$510,000","$484,900",07/04/2017,Canals,Single Family,2 Storey,2107,2002
845625,861 CANOE GR SW,"$645,000","$613,300",07/04/2017,Canals,Single Family,2 Storey,2361,2007
852130,142 SAGEWOOD DR SW,"$352,500","$335,200",07/13/2017,Canals,Duplex,2 Storey,1695,2013
852023,58 CANALS CL SW,"$529,000","$502,700",08/16/2017,Canals,Single Family,2 Storey,2443,2016
844760,145 CANALS CI SW,"$332,000","$315,500",08/29/2017,Canals,Duplex,2 Storey,1498,2007
845628,866 CANOE GR SW,"$380,000","$361,100",08/29/2017,Canals,Single Family,2 Storey,1647,2010
799587,32 CANOE CV SW,"$418,000","$397,200",08/30/2017,Canals,Single Family,2 Storey,2220,2004
852096,274 CANALS CL SW,"$368,000","$349,700",08/03/2017,Canals,Duplex,2 Storey,1458,2013
808047,47 102 CANOE SQ SW,"$282,000","$265,100",09/22/2017,Canals,Condo,2 Storey,1333,2005
844766,151 CANALS CI SW,"$355,000","$338,200",09/20/2017,Canals,Duplex,2 Storey,1554,2007
851994,439 CANALS BV SW,"$718,000","$684,000",09/20/2017,Canals,Single Family,2 Storey,2500,2016
800929,90 CANOE SQ SW,"$352,500","$335,800",09/19/2017,Canals,Duplex,Bilevel,942,2002
841562,945 CHANNELSIDE RD SW,"$545,000","$519,200",09/29/2017,Canals,Single Family,2 Storey,1808,2006
800814,109 CANOE SQ SW,"$315,000","$299,700",10/27/2017,Canals,Duplex,Bungalow,942,2002
816200,27 CANOE CI SW,"$390,000","$371,000",10/10/2017,Canals,Single Family,2 Storey,1596,2003
845639,889 CANOE GR SW,"$730,000","$694,400",10/14/2017,Canals,Single Family,Bungalow,1691,2007
800807,57 CANOE CL SW,"$340,000","$323,400",10/18/2017,Canals,Duplex,Bilevel,1024,2001
800723,3 CANOE CL SW,"$430,000","$411,300",11/15/2017,Canals,Single Family,Bungalow,1504,2002
852124,118 SAGEWOOD DR SW,"$365,000","$349,100",11/16/2017,Canals,Duplex,2 Storey,1537,2013
852006,2 CANALS CL SW,"$521,331","$498,700",11/04/2017,Canals,Single Family,2 Storey,2242,2017
800973,13 CANOE CL SW,"$308,000","$298,000",12/06/2017,Canals,Duplex,Bilevel,857,2000
852085,247 CANALS CL SW,"$530,000","$511,000",01/15/2018,Canals,Single Family,2 Storey,2483,2014
816100,319 CANALS BV SW,"$354,900","$342,200",01/24/2018,Canals,Single Family,2 Storey,1406,1998
859858,510 CANALS CX SW,"$309,999","$296,200",03/14/2018,Canals,Condo,3 Storey - basementless,1460,2017
859857,508 CANALS CX SW,"$280,350","$267,900",03/23/2018,Canals,Condo,3 Storey - basementless,1348,2017
799546,222 CANALS CI SW,"$415,000","$396,500",03/26/2018,Canals,Single Family,2 Storey,2220,2004
818008,62 CANOE CL SW,"$390,000","$372,600",03/28/2018,Canals,Duplex,2 Storey,1422,2001
859856,506 CANALS CX SW,"$268,000","$256,800",04/20/2018,Canals,Condo,3 Storey - basementless,1350,2017
808024,24 102 CANOE SQ SW,"$275,000","$263,500",04/19/2018,Canals,Condo,2 Storey,1330,2002
852094,266 CANALS CL SW,"$335,000","$322,300",04/05/2018,Canals,Duplex,2 Storey,1314,2013
841539,130 CHANNELSIDE CV SW,"$395,000","$380,100",04/06/2018,Canals,Single Family,2 Storey,1801,2005
799582,12 CANOE CV SW,"$454,500","$435,400",05/15/2018,Canals,Single Family,2 Storey,2024,2005
852101,18 CANALS CO SW,"$699,000","$669,600",05/31/2018,Canals,Single Family,2 Storey,2685,2014
800956,85 CANOE SQ SW,"$346,000","$331,400",05/23/2018,Canals,Duplex,2 Storey,1286,2002
859912,1183 CHANNELSIDE DR SW,"$328,252","$315,400",05/04/2018,Canals,Condo,2 Storey,1479,2017
808022,22 102 CANOE SQ SW,"$262,000","$251,700",05/04/2018,Canals,Condo,2 Storey,1333,2002
859917,1193 CHANNELSIDE DR SW,"$328,329","$315,500",05/03/2018,Canals,Condo,2 Storey,1477,2017
851992,435 CANALS BV SW,"$660,000","$632,200",05/11/2018,Canals,Single Family,2 Storey,2500,2017
859915,1189 CHANNELSIDE DR SW,"$305,711","$293,700",05/09/2018,Canals,Condo,2 Storey,1447,2017
799506,250 CANOE DR SW,"$616,000","$595,400",06/15/2018,Canals,Single Family,2 Storey,2529,2005
859852,498 CANALS CX SW,"$269,535","$259,700",06/28/2018,Canals,Condo,3 Storey - basementless,1352,2017
851987,423 CANALS BV SW,"$855,000","$826,400",06/23/2018,Canals,Single Family,2 Storey,2789,2014
852129,138 SAGEWOOD DR SW,"$375,000","$362,500",06/26/2018,Canals,Duplex,2 Storey,1695,2013
841454,1030 CHANNELSIDE WY SW,"$422,000","$407,900",06/07/2018,Canals,Single Family,2 Storey,1864,2006
815300,70 CANOE CI SW,"$357,000","$345,100",06/07/2018,Canals,Single Family,Split Level,1218,1998
845620,845 CANOE GR SW,"$540,000","$518,600",07/03/2018,Canals,Single Family,2 Storey,2753,2007
841495,1121 CHANNELSIDE WY SW,"$595,000","$571,400",07/09/2018,Canals,Single Family,2 Storey,2334,2013
841474,1080 CHANNELSIDE WY SW,"$410,000","$393,700",07/09/2018,Canals,Single Family,2 Storey,1788,2007
852069,198 CANALS CL SW,"$372,500","$357,700",07/17/2018,Canals,Duplex,2 Storey,1458,2013
844761,146 CANALS CI SW,"$319,000","$306,300",07/25/2018,Canals,Duplex,2 Storey,1497,2007
841501,113 CHANNELSIDE CV SW,"$445,000","$427,300",07/27/2018,Canals,Single Family,2 Storey,2100,2006
859853,500 CANALS CX SW,"$270,794","$261,700",07/31/2018,Canals,Condo,3 Storey - basementless,1355,2017
844737,113 CANALS CI SW,"$345,000","$335,000",08/09/2018,Canals,Duplex,2 Storey,1658,2007
844770,155 CANALS CI SW,"$315,000","$305,900",08/14/2018,Canals,Duplex,2 Storey,1498,2007
800701,403 CANALS BV SW,"$621,000","$603,000",08/14/2018,Canals,Single Family,2 Storey,2535,2001
808045,45 102 CANOE SQ SW,"$260,000","$251,900",08/15/2018,Canals,Condo,2 Storey,1333,2002
818014,117 CANOE SQ SW,"$329,000","$319,500",08/21/2018,Canals,Duplex,2 Storey,1348,2002
845633,877 CANOE GR SW,"$690,000","$670,000",08/30/2018,Canals,Single Family,2 Storey,2483,2008
800928,92 CANOE SQ SW,"$319,000","$309,700",08/29/2018,Canals,Duplex,2 Storey,1286,2001
841460,105 CHANNELSIDE CM SW,"$520,000","$504,900",08/28/2018,Canals,Single Family,2 Storey,2099,2006
860145,121 115 SAGEWOOD DR SW,"$188,953","$183,100",08/28/2018,Canals,Condo,Bungalow - basementless,899,2017
852122,114 SAGEWOOD DR SW,"$345,000","$335,000",08/27/2018,Canals,Duplex,2 Storey,1537,2013
859865,524 CANALS CX SW,"$286,387","$278,300",09/11/2018,Canals,Condo,3 Storey - basementless,1355,2018
800771,60 CANOE RD SW,"$660,000","$633,800",09/13/2018,Canals,Single Family,2 Storey,2391,1999
845646,913 CANOE GR SW,"$715,000","$686,600",09/14/2018,Canals,Single Family,2 Storey,2950,2012
799572,73 CANALS CI SW,"$445,000","$427,300",09/15/2018,Canals,Single Family,2 Storey,1800,2004
800940,64 CANOE SQ SW,"$321,500","$308,700",09/19/2018,Canals,Duplex,2 Storey,1280,2001
808009,9 102 CANOE SQ SW,"$202,000","$196,300",09/21/2018,Canals,Condo,2 Storey,1333,2002
845648,918 CANOE GR SW,"$475,000","$456,100",09/26/2018,Canals,Single Family,2 Storey,1970,2011
800931,86 CANOE SQ SW,"$312,000","$299,600",09/29/2018,Canals,Duplex,2 Storey,1279,2001
808007,7 102 CANOE SQ SW,"$280,000","$272,900",10/09/2018,Canals,Condo,2 Storey,1330,2002
860143,104 115 SAGEWOOD DR SW,"$241,174","$235,000",10/24/2018,Canals,Condo,Bungalow - basementless,791,2017
852103,26 CANALS CO SW,"$490,000","$477,000",11/27/2018,Canals,Single Family,2 Storey,2088,2014
808058,9 156 CANOE DR SW,"$267,000","$261,000",11/22/2018,Canals,Condo,2 Storey,1310,2002
808070,21 156 CANOE DR SW,"$275,000","$268,800",11/28/2018,Canals,Condo,2 Storey,1450,2002
860141,102 115 SAGEWOOD DR SW,"$245,000","$239,500",11/09/2018,Canals,Condo,Bungalow - basementless,799,2017
859867,528 CANALS CX SW,"$280,000","$273,700",11/20/2018,Canals,Condo,3 Storey - basementless,1353,2018
841509,1140 CHANNELSIDE DR SW,"$520,000","$506,200",11/22/2018,Canals,Single Family,2 Storey,1996,2008
852007,6 CANALS CL SW,"$640,000","$633,000",12/05/2018,Canals,Single Family,2 Storey,2485,2013
844744,120 CANALS CI SW,"$320,000","$316,500",12/07/2018,Canals,Duplex,2 Storey,1554,2007
845640,890 CANOE GR SW,"$520,000","$516,400",01/21/2019,Canals,Single Family,2 Storey,2192,2011
799544,214 CANALS CI SW,"$390,000","$387,300",01/31/2019,Canals,Single Family,2 Storey,2082,2005
816100,319 CANALS BV SW,"$329,500","$326,500",02/19/2019,Canals,Single Family,2 Storey,1406,1998
859911,1181 CHANNELSIDE DR SW,"$326,800","$322,200",02/28/2019,Canals,Condo,2 Storey,1468,2018
800790,134 CANOE CR SW,"$672,500","$675,500",03/05/2019,Canals,Single Family,2 Storey,2691,2002
841481,110 CHANNELSIDE CM SW,"$590,000","$592,700",03/11/2019,Canals,Single Family,2 Storey,2303,2013
800006,58 CANOE SQ SW,"$315,000","$316,400",03/12/2019,Canals,Duplex,Bilevel,1087,2001
860150,901 115 SAGEWOOD DR SW,"$292,000","$288,600",03/14/2019,Canals,Condo,3 Storey - basementless,1710,2018
860157,908 115 SAGEWOOD DR SW,"$270,000","$266,900",03/20/2019,Canals,Condo,3 Storey - basementless,1618,2018
860153,904 115 SAGEWOOD DR SW,"$266,375","$271,700",03/27/2019,Canals,Condo,3 Storey - basementless,1615,2018
860152,903 115 SAGEWOOD DR SW,"$263,468","$273,500",03/29/2019,Canals,Condo,3 Storey - basementless,1615,2018
860148,124 115 SAGEWOOD DR SW,"$248,892","$242,500",10/22/2018,Canals,Condo,Bungalow - basementless,899,2017
860140,101 115 SAGEWOOD DR SW,"$195,000","$189,000",08/10/2018,Canals,Condo,Bungalow - basementless,805,2017
841453,1029 CHANNELSIDE WY SW,"$549,000","$550,300",04/03/2019,Canals,Single Family,2 Storey,2133,2007
844743,119 CANALS CI SW,"$345,000","$345,800",04/04/2019,Canals,Duplex,2 Storey,1706,2007
860156,907 115 SAGEWOOD DR SW,"$267,000","$264,700",04/10/2019,Canals,Condo,3 Storey - basementless,1615,2018
799543,210 CANALS CI SW,"$400,000","$401,000",04/18/2019,Canals,Single Family,2 Storey,2006,2004
799603,261 CANALS CI SW,"$445,000","$436,100",05/15/2019,Canals,Single Family,2 Storey,2268,2005
799549,234 CANALS CI SW,"$545,000","$534,000",05/27/2019,Canals,Single Family,2 Storey,2755,2010
852076,222 CANALS CL SW,"$348,000","$349,200",06/12/2019,Canals,Duplex,2 Storey,1458,2013
808041,41 102 CANOE SQ SW,"$270,000","$269,200",06/14/2019,Canals,Condo,2 Storey,1330,2002
817200,71 CANOE CI SW,"$365,000","$366,200",06/17/2019,Canals,Single Family,Split Level,1211,1998
860147,123 115 SAGEWOOD DR SW,"$225,000","$224,300",06/24/2019,Canals,Condo,Bungalow - basementless,894,2017
812200,6 CANOE CI SW,"$340,000","$341,200",06/29/2019,Canals,Single Family,2 Storey,1406,1999
859482,310 CHINOOK GATE CL SW,"$399,364","$387,800",08/30/2018,Chinook Gate,Single Family,3 Storey,1954,2018
859477,280 CHINOOK GATE PA SW,"$387,490","$372,100",09/05/2018,Chinook Gate,Duplex,2 Storey,1632,2018
859479,292 CHINOOK GATE CL SW,"$389,791","$394,700",09/05/2018,Chinook Gate,Single Family,2 Storey,1535,2018
859481,304 CHINOOK GATE CL SW,"$366,536","$352,000",09/22/2018,Chinook Gate,Single Family,2 Storey,1434,2018
859475,272 CHINOOK GATE PA SW,"$340,724","$337,000",10/11/2018,Chinook Gate,Duplex,2 Storey,1420,2018
859486,331 CHINOOK GATE CL SW,"$380,000","$375,800",10/05/2018,Chinook Gate,Single Family,2 Storey,1471,2018
859543,613 CHINOOK GATE GY SW,"$409,565","$405,100",10/05/2018,Chinook Gate,Single Family,2 Storey,1787,2018
859535,509 CHINOOK GATE VW SW,"$461,497","$427,800",11/01/2018,Chinook Gate,Single Family,2 Storey,1842,2018
859483,316 CHINOOK GATE CL SW,"$400,797","$390,100",11/29/2018,Chinook Gate,Single Family,2 Storey,1480,2018
859484,322 CHINOOK GATE CL SW,"$399,621","$395,200",12/12/2018,Chinook Gate,Single Family,3 Storey,2017,2018
859528,440 CHINOOK GATE SQ SW,"$519,388","$513,700",12/10/2018,Chinook Gate,Single Family,2 Storey,2297,2018
859473,264 CHINOOK GATE PA SW,"$340,000","$336,300",12/06/2018,Chinook Gate,Duplex,2 Storey,1605,2018
859534,505 CHINOOK GATE VW SW,"$420,738","$417,800",01/07/2019,Chinook Gate,Single Family,2 Storey,1837,2018
859541,609 CHINOOK GATE GY SW,"$372,129","$369,600",01/09/2019,Chinook Gate,Single Family,2 Storey,1534,2018
859512,400 CHINOOK GATE SQ SW,"$503,000","$499,500",01/17/2019,Chinook Gate,Single Family,2 Storey,2320,2017
859474,268 CHINOOK GATE PA SW,"$319,789","$316,900",02/07/2019,Chinook Gate,Duplex,2 Storey,1371,2018
859471,256 CHINOOK GATE PA SW,"$326,444","$323,500",02/12/2019,Chinook Gate,Single Family,2 Storey,1374,2018
859478,286 CHINOOK GATE CL SW,"$385,000","$381,500",02/15/2019,Chinook Gate,Single Family,2 Storey,1822,2018
859476,276 CHINOOK GATE PA SW,"$328,500","$325,500",02/27/2019,Chinook Gate,Duplex,2 Storey,1556,2018
859521,416 CHINOOK GATE SQ SW,"$436,000","$438,000",03/04/2019,Chinook Gate,Single Family,2 Storey,2012,2017
859470,252 CHINOOK GATE PA SW,"$303,896","$305,300",03/12/2019,Chinook Gate,Single Family,2 Storey,1339,2018
859514,401 CHINOOK GATE SQ SW,"$459,845","$460,900",04/11/2019,Chinook Gate,Single Family,2 Storey,1787,2018
859538,521 CHINOOK GATE VW SW,"$496,437","$497,600",04/16/2019,Chinook Gate,Single Family,2 Storey,2210,2018
