Property Address,Tax Roll,legal_desc,assessed_value_CAD,land_use,classifications,parcel_area (m2),year_built,living_area_above_grade_ft2,bldg_desc,finished_below_grade,garage,deck,veranda,fireplace,walkout_basement
2120 604 EAST LAKE BV NE,853136,Plan: 0913950 Block/Unit: 237 Lot:,208000,DC-29,Condominium,83,2013,884,Apartment,None,None,Yes,No,None,No
2410 604 EAST LAKE BV NE,853218,Plan: 0913950 Block/Unit: 321 Lot:,153000,DC-29,Condominium,56,2013,599,Apartment,None,None,Yes,No,None,No
2232 604 EAST LAKE BV NE,853178,Plan: 0913950 Block/Unit: 272 Lot:,223000,DC-29,Condominium,92,2013,982,Apartment,None,None,Yes,No,None,No
2321 604 EAST LAKE BV NE,853197,Plan: 0913950 Block/Unit: 308 Lot:,178000,DC-29,Condominium,75,2013,813,Apartment,None,None,Yes,No,None,No
2220 604 EAST LAKE BV NE,853166,Plan: 0913950 Block/Unit: 266 Lot:,208000,DC-29,Condominium,83,2013,884,Apartment,None,None,Yes,No,None,No
2315 604 EAST LAKE BV NE,853191,Plan: 0913950 Block/Unit: 311 Lot:,184000,DC-29,Condominium,80,2013,849,Apartment,None,None,Yes,No,None,No
1417 604 EAST LAKE BV NE,847419,Plan: 0913950 Block/Unit: 54 Lot:,227000,DC-29,Condominium,89,2008,1044,Apartment,None,None,Yes,No,None,No
2218 604 EAST LAKE BV NE,853164,Plan: 0913950 Block/Unit: 265 Lot:,200000,DC-29,Condominium,78,2013,838,Apartment,None,None,Yes,No,None,No
2312 604 EAST LAKE BV NE,853189,Plan: 0913950 Block/Unit: 292 Lot:,151000,DC-29,Condominium,59,2013,635,Apartment,None,None,Yes,No,None,No
2431 604 EAST LAKE BV NE,853237,Plan: 0913950 Block/Unit: 333 Lot:,224000,DC-29,Condominium,89,2013,959,Apartment,None,None,Yes,No,None,No
2202 604 EAST LAKE BV NE,853150,Plan: 0913950 Block/Unit: 257 Lot:,199000,DC-29,Condominium,92,2013,982,Apartment,None,None,Yes,No,None,No
1303 604 EAST LAKE BV NE,847387,Plan: 0913950 Block/Unit: 43 Lot:,175000,DC-29,Condominium,77,2008,862,Apartment,None,None,Yes,No,None,No
2409 604 EAST LAKE BV NE,853217,Plan: 0913950 Block/Unit: 342 Lot:,153000,DC-29,Condominium,56,2013,598,Apartment,None,None,Yes,No,None,No
1402 604 EAST LAKE BV NE,847404,Plan: 0913950 Block/Unit: 63 Lot:,211000,DC-29,Condominium,89,2008,1044,Apartment,None,None,Yes,No,None,No
2429 604 EAST LAKE BV NE,853235,Plan: 0913950 Block/Unit: 334 Lot:,187000,DC-29,Condominium,77,2013,822,Apartment,None,None,Yes,No,None,No
48 ELDERWOOD PL SE,462900,Plan: 9211097 Block/Unit: 5 Lot: 12,326000,R1 Single Detached Residential District,Single Family Dwelling,395,1992,1059,Bi-Level,Yes,Yes,Yes,No,None,No
1223 ERIN DR SE,511500,Plan: 9311033 Block/Unit: 7 Lot: 7,321000,R1 Single Detached Residential District,Single Family Dwelling,396,1993,1095,Bi-Level,None,Yes,Yes,No,None,No
1527 ERIN DR SE,469000,Plan: 9211097 Block/Unit: 3 Lot: 1,354000,R1 Single Detached Residential District,Single Family Dwelling,527,1992,1205,Bi-Level,Yes,Yes,Yes,No,Yes,No
98 ELDORADO RD SE,407900,Plan: 8011464 Block/Unit: 7 Lot: 46,343000,DC-16-A,Single Family Dwelling,380,1982,986,Bi-Level,Yes,Yes,Yes,No,None,No
122 ELK HL SE,130100,Plan: 8011464 Block/Unit: 1 Lot: 33,327000,DC-16-A,Single Family Dwelling,505,1990,1051,Split Level (no crawl),None,None,Yes,No,Yes,No
59 EMBERDALE WY SE,91400,Plan: 8011464 Block/Unit: 3 Lot: 15,261000,DC-16-A,Single Family Dwelling,360,1981,1056,Bungalow,Yes,None,Yes,No,None,No
39 EMBERDALE WY SE,92800,Plan: 8011464 Block/Unit: 3 Lot: 10,273000,DC-16-A,Single Family Dwelling,344,1981,1056,Bungalow,Yes,None,Yes,No,None,No
38 ELK HL SE,244900,Plan: 8011464 Block/Unit: 1 Lot: 12,355000,DC-16-A,Single Family Dwelling,344,1989,1099,Bungalow,Yes,Yes,Yes,No,None,No
74 ELDORADO RD SE,283000,Plan: 8011464 Block/Unit: 7 Lot: 40,297000,DC-16-A,Single Family Dwelling,353,1981,979,Bi-Level,Yes,None,Yes,No,None,No
66 EVERGLADE DR SE,449000,Plan: 9111726 Block/Unit: 2 Lot: 50,248000,R2 Low Density Residential District,Duplex,383,1992,1220,2 Storey,Yes,Yes,No,Yes,None,No
6 EMERALD CO SE,279000,Plan: 8011464 Block/Unit: 4 Lot: 8A,225000,R2 Low Density Residential District,Duplex,279,1981,877,Bi-Level,Yes,None,Yes,No,None,No
14 ELDORADO RD SE,281900,Plan: 8011464 Block/Unit: 7 Lot: 29,284000,DC-16-A,Single Family Dwelling,370,1982,1092,Split Level (no crawl),Yes,None,Yes,Yes,Yes,No
910 ALLEN ST SE,178000,Plan: 8011464 Block/Unit: 9 Lot: 3,381000,DC-16-A,Single Family Dwelling,619,1993,1040,Bi-Level,Yes,Yes,Yes,No,Yes,Yes
60 EVERGLADE DR SE,513000,Plan: 9110300 Block/Unit: 2 Lot: 15,263000,R2 Low Density Residential District,Duplex,307,1993,1290,2 Storey,Yes,Yes,Yes,No,None,No
80 EVERGLADE DR SE,449800,Plan: 9111726 Block/Unit: 2 Lot: 43,260000,R2 Low Density Residential District,Duplex,264,1991,1227,2 Storey,Yes,Yes,Yes,No,None,No
84 EVERGLADE DR SE,450000,Plan: 9111726 Block/Unit: 2 Lot: 41,274000,R2 Low Density Residential District,Duplex,302,1991,1078,Bungalow,Yes,Yes,Yes,No,None,No
38 EDMUND WY SE,470500,Plan: 9211359 Block/Unit: 3 Lot: 16,396000,R1 Single Detached Residential District,Single Family Dwelling,490,1992,1945,2 Storey,Yes,Yes,Yes,No,Yes,No
88 EVERGLADE DR SE,450200,Plan: 9111726 Block/Unit: 2 Lot: 39,266000,R2 Low Density Residential District,Duplex,264,1991,1227,2 Storey,Yes,Yes,Yes,No,None,No
15 EVERGLADE DR SE,446300,Plan: 9110300 Block/Unit: 1 Lot: 7,366000,R1 Single Detached Residential District,Single Family Dwelling,467,1991,1401,Bi-Level,Yes,Yes,Yes,No,Yes,No
79 EMBERDALE WY SE,91700,Plan: 8011464 Block/Unit: 3 Lot: 20,299000,DC-16-A,Single Family Dwelling,353,1982,1101,Split Level (with crawl),Yes,None,Yes,No,Yes,No
58 ELSMORE PL SE,464900,Plan: 9211097 Block/Unit: 5 Lot: 32,351000,R1 Single Detached Residential District,Single Family Dwelling,456,1992,1464,2 Storey,Yes,Yes,Yes,Yes,Yes,No
1623 SUMMERFIELD BV SE,296600,Plan: 8011464 Block/Unit: 8 Lot: 16,305000,DC-16-A,Single Family Dwelling,418,1982,1292,2 Storey,Yes,None,Yes,Yes,None,No
111 ELK HL SE,441400,Plan: 8011464 Block/Unit: 1 Lot: 38,301000,DC-16-A,Single Family Dwelling,360,1981,910,Bi-Level,Yes,Yes,Yes,Yes,None,No
64 ELDERWOOD PL SE,463300,Plan: 9211097 Block/Unit: 5 Lot: 16,368000,R1 Single Detached Residential District,Single Family Dwelling,435,1992,1306,Bi-Level,Yes,Yes,Yes,No,None,No
82 EMBERDALE WY SE,78900,Plan: 8011464 Block/Unit: 2 Lot: 20,303000,DC-16-A,Single Family Dwelling,372,1981,1177,Bi-Level,Yes,None,Yes,No,None,No
46 ELK HL SE,63300,Plan: 8011464 Block/Unit: 1 Lot: 14,340000,DC-16-A,Single Family Dwelling,344,1980,1227,Bi-Level,Yes,None,Yes,Yes,Yes,No
10 ELIZABETH WY SE,531100,Plan: 9312296 Block/Unit: 5 Lot: 85,370000,R1 Single Detached Residential District,Single Family Dwelling,498,1994,1197,Bi-Level,Yes,Yes,Yes,No,None,No
26 ELDORADO RD SE,109000,Plan: 8011464 Block/Unit: 7 Lot: 32,328000,DC-16-A,Single Family Dwelling,370,1982,1144,Bi-Level,Yes,None,Yes,No,Yes,No
56 EVERGLADE DR SE,460200,Plan: 9110300 Block/Unit: 2 Lot: 14,272000,R2 Low Density Residential District,Duplex,283,1991,1000,Bungalow,Yes,Yes,Yes,Yes,None,No
36 EVERGLADE DR SE,460400,Plan: 9110300 Block/Unit: 2 Lot: 9,262000,R2 Low Density Residential District,Duplex,283,1991,1000,Bungalow,Yes,Yes,No,Yes,None,No
58 ELIZABETH WY SE,529100,Plan: 9312296 Block/Unit: 5 Lot: 73,304000,R1 Single Detached Residential District,Single Family Dwelling,429,1994,1119,Bi-Level,Yes,None,Yes,Yes,None,No
1239 ERIN DR SE,511100,Plan: 9311033 Block/Unit: 7 Lot: 3,326000,R1 Single Detached Residential District,Single Family Dwelling,396,1993,1294,2 Storey,Yes,Yes,Yes,Yes,Yes,No
58 ELK HL SE,239400,Plan: 8011464 Block/Unit: 1 Lot: 17,349000,DC-16-A,Single Family Dwelling,344,1980,1202,Bi-Level,Yes,Yes,None,None,None,Yes
26 EVERGLADE DR SE,448000,Plan: 9211062 Block/Unit: 2 Lot: 61,250000,R2 Low Density Residential District,Duplex,295,1992,1321,2 Storey,None,Yes,Yes,Yes,None,No
44 EMERALD CO SE,126000,Plan: 8011464 Block/Unit: 4 Lot: 18,309000,R2 Low Density Residential District,Duplex,318,1990,1574,2 Storey,Yes,Yes,Yes,Yes,Yes,No
68 EVERGLADE DR SE,456100,Plan: 9111726 Block/Unit: 2 Lot: 49,237000,R2 Low Density Residential District,Duplex,300,1992,1221,2 Storey,None,Yes,No,Yes,None,No
20 EVERGLADE DR SE,468600,Plan: 9211062 Block/Unit: 2 Lot: 64,268000,R2 Low Density Residential District,Duplex,397,1992,1321,2 Storey,Yes,Yes,Yes,Yes,None,No
1220 ALLEN ST SE,309600,Plan: 8011464 Block/Unit: 4 Lot: 2,224000,R2 Low Density Residential District,Duplex,297,1981,877,Bi-Level,Yes,None,None,None,None,No
42 ELSTON PL SE,87200,Plan: 8011464 Block/Unit: 7 Lot: 54,346000,DC-16-A,Single Family Dwelling,547,1982,1183,Bi-Level,Yes,Yes,Yes,No,Yes,No
127 ELIZABETH WY SE,510800,Plan: 9311033 Block/Unit: 6 Lot: 7,342000,R1 Single Detached Residential District,Single Family Dwelling,445,1993,1153,Bi-Level,Yes,Yes,Yes,Yes,None,No
1423 ERIN DR SE,461400,Plan: 9211097 Block/Unit: 4 Lot: 6,300000,R1 Single Detached Residential District,Single Family Dwelling,439,1992,1231,2 Storey,Yes,Yes,None,None,None,No
74 ELDRIDGE RI SE,222500,Plan: 8011464 Block/Unit: 7 Lot: 6,275000,DC-16-A,Single Family Dwelling,348,1981,979,Bi-Level,Yes,None,Yes,No,None,No
15 EMBERDALE WY SE,179300,Plan: 8011464 Block/Unit: 3 Lot: 4,293000,DC-16-A,Single Family Dwelling,354,1981,1056,Bungalow,Yes,None,Yes,No,None,No
8 EMERALD CO SE,397700,Plan: 8011464 Block/Unit: 4 Lot: 8B,235000,R2 Low Density Residential District,Duplex,279,1981,877,Bi-Level,Yes,None,None,None,None,No
106 ELDORADO RD SE,184500,Plan: 8011464 Block/Unit: 1 Lot: 52,340000,DC-16-A,Single Family Dwelling,352,1981,1005,Bi-Level,Yes,Yes,Yes,No,None,No
18 ELIZABETH WY SE,530700,Plan: 9312296 Block/Unit: 5 Lot: 83,354000,R1 Single Detached Residential District,Single Family Dwelling,456,1994,1559,2 Storey,Yes,Yes,Yes,Yes,Yes,No
48 EVERGLADE DR SE,504500,Plan: 9110300 Block/Unit: 2 Lot: 12,242000,R2 Low Density Residential District,Duplex,283,1992,1009,Bungalow,None,Yes,No,Yes,None,No
40 EVERGLADE DR SE,483500,Plan: 9110300 Block/Unit: 2 Lot: 10B,247000,R2 Low Density Residential District,Duplex,283,1992,1245,2 Storey,Yes,Yes,Yes,No,None,No
20 EMERALD CO SE,306500,Plan: 8011464 Block/Unit: 4 Lot: 11B,237000,R2 Low Density Residential District,Duplex,279,1981,877,Bi-Level,Yes,None,Yes,No,Yes,No
49 EVERGLADE BA SE,447200,Plan: 9110300 Block/Unit: 1 Lot: 16,311000,R1 Single Detached Residential District,Single Family Dwelling,424,1991,1208,2 Storey,Yes,Yes,Yes,No,Yes,No
47 EDMUND WY SE,471800,Plan: 9211359 Block/Unit: 4 Lot: 12,370000,R1 Single Detached Residential District,Single Family Dwelling,441,1992,1817,2 Storey,None,Yes,Yes,No,Yes,No
6 EDMUND WY SE,471300,Plan: 9211359 Block/Unit: 3 Lot: 24,358000,R1 Single Detached Residential District,Single Family Dwelling,473,1993,1616,2 Storey,Yes,Yes,Yes,Yes,Yes,No
94 ELK HL SE,351200,Plan: 8011464 Block/Unit: 1 Lot: 26,312000,DC-16-A,Single Family Dwelling,344,1981,1199,Bungalow,Yes,None,No,Yes,None,No
35 ELK HL SE,162500,Plan: 8011464 Block/Unit: 2 Lot: 5,290000,DC-16-A,Single Family Dwelling,353,1981,1056,Bungalow,Yes,None,None,None,Yes,No
10 EDMUND WY SE,471200,Plan: 9211359 Block/Unit: 3 Lot: 23,344000,R1 Single Detached Residential District,Single Family Dwelling,473,1993,1403,2 Storey,Yes,Yes,Yes,Yes,Yes,No
26 ELSMORE PL SE,464100,Plan: 9211097 Block/Unit: 5 Lot: 24,336000,R1 Single Detached Residential District,Single Family Dwelling,587,1992,1173,Bi-Level,Yes,Yes,Yes,Yes,None,No
62 ELSMORE PL SE,465000,Plan: 9211097 Block/Unit: 5 Lot: 33,325000,R1 Single Detached Residential District,Single Family Dwelling,439,1992,1011,Bi-Level,Yes,Yes,Yes,No,Yes,No
43 ELK HL SE,353900,Plan: 8011464 Block/Unit: 2 Lot: 7,306000,DC-16-A,Single Family Dwelling,353,1981,1176,Split Level (no crawl),None,None,Yes,Yes,Yes,No
1427 ERIN DR SE,461500,Plan: 9211097 Block/Unit: 4 Lot: 7,329000,R1 Single Detached Residential District,Single Family Dwelling,484,1992,1330,2 Storey,Yes,Yes,Yes,Yes,None,No
42 ELDRIDGE RI SE,284800,Plan: 8011464 Block/Unit: 7 Lot: 14,328000,DC-16-A,Single Family Dwelling,410,1983,988,Bi-Level,Yes,Yes,Yes,No,None,No
66 ELDRIDGE RI SE,151900,Plan: 8011464 Block/Unit: 7 Lot: 8,305000,DC-16-A,Single Family Dwelling,344,1981,1056,Bungalow,Yes,None,None,None,None,No
99 EMBERDALE WY SE,329100,Plan: 8011464 Block/Unit: 3 Lot: 25,312000,DC-16-A,Single Family Dwelling,353,1989,1198,Split Level (with crawl),None,Yes,Yes,No,Yes,No
24 ELDERWOOD PL SE,462200,Plan: 9211097 Block/Unit: 5 Lot: 6,302000,R1 Single Detached Residential District,Single Family Dwelling,411,1992,1303,2 Storey,Yes,Yes,Yes,Yes,None,No
7 EVERGLADE DR SE,446100,Plan: 9110300 Block/Unit: 1 Lot: 5,340000,R1 Single Detached Residential District,Single Family Dwelling,458,1991,1202,Bi-Level,Yes,Yes,None,None,Yes,No
103 EMBERDALE WY SE,230100,Plan: 8011464 Block/Unit: 3 Lot: 26,305000,DC-16-A,Single Family Dwelling,359,1982,1449,2 Storey,Yes,Yes,Yes,No,Yes,No
50 ELSTON PL SE,22400,Plan: 8011464 Block/Unit: 7 Lot: 52,298000,DC-16-A,Single Family Dwelling,383,1982,1174,Bungalow,Yes,None,Yes,No,Yes,No
6 ELIZABETH WY SE,531300,Plan: 9312296 Block/Unit: 5 Lot: 86,342000,R1 Single Detached Residential District,Single Family Dwelling,480,1994,1308,Bi-Level,None,Yes,Yes,No,Yes,No
75 EMBERDALE WY SE,177300,Plan: 8011464 Block/Unit: 3 Lot: 19,354000,DC-16-A,Single Family Dwelling,353,1982,1918,Bi-Level,Yes,None,Yes,No,None,Yes
86 EVERGLADE DR SE,450100,Plan: 9111726 Block/Unit: 2 Lot: 40,286000,R2 Low Density Residential District,Duplex,302,1991,1078,Bungalow,Yes,Yes,None,None,None,No
29 505 EDMONTON TR NE,526100,Plan: 9312049 Block/Unit: 29 Lot:,203000,R2-T Townhouse Residential District,Condominium,217,1994,1095,2 Storey,Yes,Yes,Yes,No,None,No
19 505 EDMONTON TR NE,525100,Plan: 9312049 Block/Unit: 19 Lot:,248000,R2-T Townhouse Residential District,Condominium,321,1994,982,Bi-Level,Yes,Yes,Yes,No,None,Yes
35 567 EDMONTON TR NE,705400,Plan: 9712080 Block/Unit: 35 Lot:,246000,R2-T Townhouse Residential District,Condominium,262,1997,1192,2 Storey,Yes,Yes,Yes,Yes,Yes,No
25 505 EDMONTON TR NE,525700,Plan: 9312049 Block/Unit: 25 Lot:,239000,R2-T Townhouse Residential District,Condominium,337,1994,982,Bi-Level,Yes,Yes,Yes,No,None,No
34 505 EDMONTON TR NE,526600,Plan: 9312049 Block/Unit: 34 Lot:,258000,R2-T Townhouse Residential District,Condominium,288,1994,982,Bi-Level,Yes,Yes,No,Yes,Yes,No
26 567 EDMONTON TR NE,704500,Plan: 9712080 Block/Unit: 26 Lot:,217000,R2-T Townhouse Residential District,Condominium,218,1998,1114,2 Storey,None,Yes,Yes,Yes,Yes,No
38 505 EDMONTON TR NE,527000,Plan: 9312049 Block/Unit: 38 Lot:,239000,R2-T Townhouse Residential District,Condominium,377,1994,982,Bi-Level,Yes,Yes,Yes,No,Yes,No
14 567 EDMONTON TR NE,702300,Plan: 9712080 Block/Unit: 14 Lot:,230000,R2-T Townhouse Residential District,Condominium,218,1997,1262,2 Storey,Yes,Yes,Yes,Yes,Yes,No
140 FAIRWAYS DR NW,757908,Plan: 9912655 Block/Unit: 6 Lot: 77,384000,R1 Single Detached Residential District,Single Family Dwelling,410,2001,1604,2 Storey,Yes,Yes,Yes,Yes,Yes,No
530 FAIRWAYS CR NW,774536,Plan: 0213225 Block/Unit: 3 Lot: 19,394000,R1 Single Detached Residential District,Single Family Dwelling,494,2003,1279,Bi-Level,Yes,Yes,Yes,No,Yes,No
706 FAIRWAYS GR NW,774767,Plan: 0313255 Block/Unit: 7 Lot: 13,394000,R1 Single Detached Residential District,Single Family Dwelling,469,2004,1665,2 Storey,Yes,Yes,Yes,Yes,Yes,No
80 FAIRWAYS DR NW,757943,Plan: 9912655 Block/Unit: 6 Lot: 51,397000,R1 Single Detached Residential District,Single Family Dwelling,444,2002,1611,2 Storey,Yes,Yes,Yes,Yes,Yes,No
15 FAIRWAYS DR NW,754900,Plan: 9910023 Block/Unit: 5 Lot: 4,353000,R1 Single Detached Residential District,Single Family Dwelling,415,1999,1159,Split Level (with crawl),None,Yes,None,None,Yes,No
621 FAIRWAYS LD NW,774586,Plan: 0213225 Block/Unit: 6 Lot: 126,525000,R1 Single Detached Residential District,Single Family Dwelling,618,2004,1494,Bungalow,Yes,Yes,Yes,No,Yes,Yes
514 FAIRWAYS CR NW,774532,Plan: 0213225 Block/Unit: 3 Lot: 15,383000,R1 Single Detached Residential District,Single Family Dwelling,424,2002,1605,2 Storey,Yes,Yes,Yes,Yes,Yes,No
135 FAIRWAYS DR NW,757905,Plan: 9912655 Block/Unit: 5 Lot: 15,367000,R1 Single Detached Residential District,Single Family Dwelling,549,2001,1575,2 Storey,None,Yes,Yes,Yes,Yes,No
60 FAIRWAYS DR NW,757938,Plan: 9912655 Block/Unit: 6 Lot: 46,430000,R1 Single Detached Residential District,Single Family Dwelling,444,2002,1817,2 Storey,Yes,Yes,Yes,Yes,Yes,No
609 FAIRWAYS LD NW,774583,Plan: 0213225 Block/Unit: 6 Lot: 123,467000,R1 Single Detached Residential District,Single Family Dwelling,486,2003,2068,2 Storey,Yes,Yes,Yes,No,Yes,Yes
813 FAIRWAYS GR NW,774726,Plan: 0313255 Block/Unit: 6 Lot: 140,504000,R1 Single Detached Residential District,Single Family Dwelling,512,2005,1410,Bungalow,Yes,Yes,Yes,Yes,Yes,Yes
425 FAIRWAYS ME NW,774564,Plan: 0213225 Block/Unit: 6 Lot: 104,731000,R1 Single Detached Residential District,Single Family Dwelling,813,2003,2979,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
2361 FAIRWAYS CI NW,774526,Plan: 0112868 Block/Unit: 6 Lot: 95,483000,R1 Single Detached Residential District,Single Family Dwelling,506,2001,1802,Bi-Level,Yes,Yes,Yes,No,Yes,Yes
191 FAIRWAYS DR NW,757933,Plan: 9912655 Block/Unit: 5 Lot: 29,379000,R1 Single Detached Residential District,Single Family Dwelling,504,2001,1575,2 Storey,Yes,Yes,Yes,Yes,Yes,No
7 103 FAIRWAYS DR NW,758134,Plan: 0210938 Block/Unit: 7 Lot:,315000,R2-T Townhouse Residential District,Condominium,277,2002,1050,Bungalow,Yes,Yes,Yes,No,Yes,No
633 FAIRWAYS LD NW,774589,Plan: 0213225 Block/Unit: 6 Lot: 129,460000,R1 Single Detached Residential District,Single Family Dwelling,503,2006,2276,2 Storey,Yes,Yes,Yes,Yes,Yes,No
123 FAIRWAYS CL NW,755900,Plan: 9910023 Block/Unit: 6 Lot: 6,415000,R1 Single Detached Residential District,Single Family Dwelling,463,1999,1928,2 Storey,Yes,Yes,Yes,Yes,Yes,No
168 FAIRWAYS DR NW,757922,Plan: 9912655 Block/Unit: 6 Lot: 84,434000,R1 Single Detached Residential District,Single Family Dwelling,450,2001,2099,2 Storey,Yes,Yes,Yes,No,Yes,No
204 FAIRWAYS BA NW,757100,Plan: 9910023 Block/Unit: 6 Lot: 18,452000,R1 Single Detached Residential District,Single Family Dwelling,553,2001,2039,2 Storey,Yes,Yes,No,Yes,Yes,No
30 103 FAIRWAYS DR NW,758157,Plan: 0210938 Block/Unit: 30 Lot:,349000,R2-T Townhouse Residential District,Condominium,303,2002,1206,Bungalow,Yes,Yes,Yes,No,Yes,No
789 FAIRWAYS GR NW,774732,Plan: 0313255 Block/Unit: 6 Lot: 146,394000,R1 Single Detached Residential District,Single Family Dwelling,469,2004,1680,2 Storey,Yes,Yes,Yes,Yes,Yes,No
56 FAIRWAYS PL NW,757954,Plan: 9912655 Block/Unit: 6 Lot: 62,520000,R1 Single Detached Residential District,Single Family Dwelling,467,2001,2111,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
142 55 FAIRWAYS DR NW,758122,Plan: 0010075 Block/Unit: 42 Lot:,296000,R2-T Townhouse Residential District,Condominium,275,2000,1052,Bi-Level,Yes,Yes,Yes,No,Yes,No
136 FAIRWAYS DR NW,757906,Plan: 9912655 Block/Unit: 6 Lot: 76,412000,R1 Single Detached Residential District,Single Family Dwelling,519,2003,1171,Bi-Level,Yes,Yes,Yes,No,Yes,No
749 FAIRWAYS GR NW,774742,Plan: 0313255 Block/Unit: 6 Lot: 156,414000,R1 Single Detached Residential District,Single Family Dwelling,392,2005,1948,2 Storey,Yes,Yes,Yes,Yes,Yes,No
272 FAIRWAYS BA NW,758800,Plan: 9910023 Block/Unit: 6 Lot: 35,429000,R1 Single Detached Residential District,Single Family Dwelling,443,1999,1985,2 Storey,Yes,Yes,Yes,Yes,Yes,No
141 55 FAIRWAYS DR NW,758121,Plan: 0010075 Block/Unit: 41 Lot:,292000,R2-T Townhouse Residential District,Condominium,315,2000,1052,Bi-Level,Yes,Yes,Yes,No,Yes,No
761 FAIRWAYS GR NW,774739,Plan: 0313255 Block/Unit: 6 Lot: 153,390000,R1 Single Detached Residential District,Single Family Dwelling,482,2004,1596,2 Storey,Yes,Yes,Yes,Yes,Yes,No
22 103 FAIRWAYS DR NW,758149,Plan: 0210938 Block/Unit: 22 Lot:,296000,R2-T Townhouse Residential District,Condominium,303,2002,1042,Bi-Level,Yes,Yes,Yes,No,Yes,No
25 103 FAIRWAYS DR NW,758152,Plan: 0210938 Block/Unit: 25 Lot:,295000,R2-T Townhouse Residential District,Condominium,246,2002,1042,Bi-Level,Yes,Yes,Yes,No,Yes,No
109 55 FAIRWAYS DR NW,757988,Plan: 0010075 Block/Unit: 9 Lot:,246000,R2-T Townhouse Residential District,Condominium,317,1999,1231,2 Storey,Yes,Yes,Yes,No,None,No
430 FAIRWAYS ME NW,774566,Plan: 0213225 Block/Unit: 6 Lot: 106,585000,R1 Single Detached Residential District,Single Family Dwelling,858,2003,1670,Bungalow,Yes,Yes,Yes,Yes,Yes,Yes
134 55 FAIRWAYS DR NW,758114,Plan: 0010075 Block/Unit: 34 Lot:,293000,R2-T Townhouse Residential District,Condominium,233,2000,1052,Bi-Level,Yes,Yes,Yes,No,Yes,No
127 55 FAIRWAYS DR NW,758107,Plan: 0010075 Block/Unit: 27 Lot:,254000,R2-T Townhouse Residential District,Condominium,267,2001,1096,2 Storey,Yes,Yes,Yes,No,None,No
139 FAIRWAYS DR NW,757907,Plan: 9912655 Block/Unit: 5 Lot: 16,381000,R1 Single Detached Residential District,Single Family Dwelling,475,2001,1562,2 Storey,Yes,Yes,Yes,Yes,Yes,No
105 55 FAIRWAYS DR NW,757984,Plan: 0010075 Block/Unit: 5 Lot:,302000,R2-T Townhouse Residential District,Condominium,228,1999,1052,Bi-Level,Yes,Yes,Yes,No,Yes,No
106 55 FAIRWAYS DR NW,757985,Plan: 0010075 Block/Unit: 6 Lot:,290000,R2-T Townhouse Residential District,Condominium,228,1999,1052,Bi-Level,Yes,Yes,Yes,No,Yes,No
9 103 FAIRWAYS DR NW,758136,Plan: 0210938 Block/Unit: 9 Lot:,313000,R2-T Townhouse Residential District,Condominium,277,2002,1050,Bungalow,Yes,Yes,Yes,No,Yes,No
20 103 FAIRWAYS DR NW,758147,Plan: 0210938 Block/Unit: 20 Lot:,283000,R2-T Townhouse Residential District,Condominium,242,2002,1042,Bi-Level,Yes,Yes,Yes,No,None,No
842 FAIRWAYS GR NW,774764,Plan: 0313255 Block/Unit: 7 Lot: 10,395000,R1 Single Detached Residential District,Single Family Dwelling,456,2004,1828,2 Storey,None,Yes,Yes,Yes,Yes,No
709 FAIRWAYS GR NW,774752,Plan: 0313255 Block/Unit: 6 Lot: 166,498000,R1 Single Detached Residential District,Single Family Dwelling,487,2004,2265,2 Storey,Yes,Yes,Yes,No,Yes,No
143 FAIRWAYS DR NW,757909,Plan: 9912655 Block/Unit: 5 Lot: 17,396000,R1 Single Detached Residential District,Single Family Dwelling,480,2001,1965,2 Storey,None,Yes,Yes,Yes,Yes,No
29 103 FAIRWAYS DR NW,758156,Plan: 0210938 Block/Unit: 29 Lot:,344000,R2-T Townhouse Residential District,Condominium,317,2002,1206,Bungalow,Yes,Yes,Yes,No,Yes,No
769 FAIRWAYS GR NW,774737,Plan: 0313255 Block/Unit: 6 Lot: 151,404000,R1 Single Detached Residential District,Single Family Dwelling,448,2004,1819,2 Storey,Yes,Yes,Yes,Yes,Yes,No
145 55 FAIRWAYS DR NW,758125,Plan: 0010075 Block/Unit: 45 Lot:,293000,R2-T Townhouse Residential District,Condominium,220,2000,1052,Bi-Level,Yes,Yes,Yes,No,Yes,No
10 103 FAIRWAYS DR NW,758137,Plan: 0210938 Block/Unit: 10 Lot:,274000,R2-T Townhouse Residential District,Condominium,317,2002,1050,Bungalow,None,Yes,Yes,No,Yes,No
199 FAIRWAYS DR NW,774520,Plan: 0112868 Block/Unit: 5 Lot: 31,423000,R1 Single Detached Residential District,Single Family Dwelling,590,2002,1900,2 Storey,Yes,Yes,Yes,Yes,Yes,No
276 FAIRWAYS BA NW,758900,Plan: 9910023 Block/Unit: 6 Lot: 36,411000,R1 Single Detached Residential District,Single Family Dwelling,443,2001,1901,2 Storey,None,Yes,Yes,Yes,Yes,No
60 FAIRWAYS PL NW,757953,Plan: 9912655 Block/Unit: 6 Lot: 61,536000,R1 Single Detached Residential District,Single Family Dwelling,578,2000,2157,2 Storey,Yes,Yes,Yes,Yes,Yes,Yes
